Demographic Group,Category,Population
NEW YORK CITY,City,"8,175,133"
BRONX,Borough,"1,385,108"
BROOKLYN,Borough,"2,504,700"
MANHATTAN,Borough,"1,585,873"
QUEENS,Borough,"2,230,722"
STATEN ISLAND,Borough,"468,730"
<18,Age_Group,"1,768,111"
18-24,Age_Group,"869,344"
25-44,Age_Group,"2,547,132"
45-64,Age_Group,"1,997,388"
65+,Age_Group,"993,158"
MALE,Gender,"3,882,544"
FEMALE,Gender,"4,292,589"
WHITE,Race,"2,722,904"
WHITE HISPANIC,Race,"874,437"
BLACK HISPANIC,Race,"227,215"
BLACK,Race,"1,861,295"
ASIAN / PACIFIC ISLANDER,Race,"1,043,535"
AMERICAN INDIAN/ALASKAN NATIVE,Race,"57,512"
SOME OTHER RACE,Race,"1,388,235"
